order_id,order_date,state,category,item,gender,size,is_subscriber,quantity,total_amount,review,age,payment_type
1,2023-02-14,Puebla,Accessories,Cap,Female,M,0,1,99.40,1,33,PayPal
2,2022-04-09,"Baja California Sur",Tops,T-Shirt,Female,M,0,1,99.99,5,25,"Credit Card"
3,2023-06-15,Campeche,Bottoms,Jeans,Female,M,0,1,299.99,3,22,"Debit Card"
4,2023-04-24,Oaxaca,Tops,"Tank Top",Female,XL,0,1,89.25,5,30,"Credit Card"
5,2023-07-27,Tabasco,"One-Piece Outfits",Kaftan,Female,S,0,1,415.35,4,21,"Bank Transfer"
6,2022-02-15,Tabasco,Activewear,"Compression Top",Male,S,0,1,250.55,5,26,"Credit Card"
7,2021-10-16,"Estado de México",Outerwear,Hoodie,Non-specified,M,0,1,275.45,5,41,"Credit Card"
8,2021-10-08,Sinaloa,Shoes,Slip-Ons,Male,XL,0,1,750.00,4,22,PayPal
9,2024-04-24,Tabasco,Tops,T-Shirt,Male,L,1,1,99.99,5,61,"Credit Card"
10,2024-04-27,Jalisco,Tops,T-Shirt,Female,XL,1,1,99.99,5,34,"Debit Card"
11,2021-08-19,Zacatecas,Activewear,"Running Shorts",Non-specified,L,1,1,180.30,5,28,"Debit Card"
12,2024-05-15,Jalisco,Tops,"Polo Shirt",Male,M,0,1,135.50,5,30,"Debit Card"
13,2024-04-10,Jalisco,Bottoms,Jeans,Male,M,0,1,299.99,1,30,"Credit Card"
14,2024-07-14,Guerrero,Activewear,"Running Shorts",Male,S,0,1,180.30,5,24,"Debit Card"
15,2024-07-28,"Nuevo León",Outerwear,Jacket,Male,L,1,1,480.90,5,51,PayPal
16,2023-08-25,Jalisco,Swimwear,"Swim Shorts",Female,S,0,1,150.55,4,26,"Credit Card"
17,2022-08-02,Yucatán,Bottoms,"Cargo Pants",Female,XL,0,1,250.75,1,43,"Credit Card"
18,2021-09-06,Yucatán,Activewear,"Training Pants",Non-specified,L,0,1,310.70,4,23,"Bank Transfer"
19,2024-06-20,"Baja California",Accessories,Wallet,Female,M,1,1,330.25,1,42,"Bank Transfer"
20,2023-02-21,"Nuevo León",Outerwear,Coat,Male,M,0,1,650.00,2,15,"Credit Card"
21,2021-09-11,Oaxaca,Tops,"Tank Top",Female,M,0,1,89.25,2,23,"Debit Card"
22,2022-01-09,Sonora,Accessories,Belt,Male,L,1,1,120.60,1,21,"Credit Card"
23,2022-04-19,Puebla,"One-Piece Outfits",Rompers,Male,L,1,1,720.10,3,22,"Debit Card"
24,2024-08-26,Yucatán,Swimwear,"Rash Guard",Male,XL,1,1,180.90,4,58,PayPal
25,2021-12-05,"Baja California",Bottoms,"Utility Pants",Female,XL,1,1,160.00,5,46,"Debit Card"
26,2023-01-26,"Baja California Sur","One-Piece Outfits",Rompers,Male,S,0,1,720.10,3,43,PayPal
27,2022-01-18,"Ciudad de México",Activewear,"Training Pants",Male,M,0,1,310.70,4,37,"Credit Card"
28,2022-07-04,Tamaulipas,Tops,T-Shirt,Female,S,1,1,99.99,3,26,"Credit Card"
29,2024-05-18,Tabasco,Bottoms,"Utility Pants",Male,S,1,1,160.00,5,22,"Debit Card"
30,2024-06-06,Sinaloa,Outerwear,Hoodie,Male,XL,1,1,275.45,5,35,"Credit Card"
31,2023-03-27,"Ciudad de México",Accessories,Backpack,Male,M,0,1,540.90,4,36,"Debit Card"
32,2023-07-02,Puebla,Activewear,"Training Pants",Male,XL,0,1,310.70,4,30,"Debit Card"
33,2024-05-14,Querétaro,Accessories,Wallet,Female,M,0,1,330.25,1,47,Cash
34,2021-07-30,Hidalgo,Swimwear,"Swim Shorts",Female,M,0,1,150.55,4,30,"Credit Card"
35,2021-04-05,"Nuevo León",Shoes,Sandals,Female,L,1,1,210.25,4,24,Cash
36,2023-04-27,Sonora,Swimwear,"Swim Shorts",Female,S,0,1,150.55,4,34,"Debit Card"
37,2024-09-15,"Baja California","One-Piece Outfits",Tunic,Female,L,1,1,340.20,3,26,"Credit Card"
38,2022-03-30,Coahuila,Activewear,Joggers,Female,M,0,1,345.10,5,17,"Credit Card"
39,2024-11-23,Jalisco,Accessories,Scarf,Female,XL,0,1,140.80,1,29,"Credit Card"
40,2023-05-03,Coahuila,Accessories,Belt,Female,S,0,1,120.60,1,27,PayPal
41,2024-02-27,Chihuahua,Tops,"Button-Up Shirt",Female,XL,1,1,220.40,1,19,Cash
42,2023-10-08,Sonora,Outerwear,Jacket,Female,S,0,1,480.90,4,34,"Debit Card"
43,2021-04-17,Durango,Outerwear,Hoodie,Female,XL,0,1,275.45,2,43,"Debit Card"
44,2021-11-05,Veracruz,Outerwear,Blazer,Female,L,0,1,520.30,5,55,Cash
45,2022-05-23,Guanajuato,Outerwear,Jacket,Female,S,1,1,480.90,5,51,PayPal
46,2024-01-30,"San Luis Potosí",Shoes,Sandals,Male,M,1,1,210.25,4,36,"Debit Card"
47,2024-09-23,"Baja California Sur",Tops,"Tank Top",Female,XL,0,1,89.25,5,27,Cash
48,2024-04-15,Sinaloa,Accessories,Belt,Male,M,1,1,120.60,1,40,Cash
49,2024-09-10,Sinaloa,Outerwear,Blazer,Male,XL,0,1,520.30,5,18,"Credit Card"
50,2022-02-07,Veracruz,Tops,"Tank Top",Male,L,1,1,89.25,5,50,"Credit Card"
51,2024-09-02,"Baja California",Accessories,Backpack,Female,XL,1,1,540.90,1,34,PayPal
52,2022-03-28,"Baja California",Tops,"Polo Shirt",Female,M,1,1,135.50,1,22,Cash
53,2024-10-21,"Estado de México",Accessories,Wallet,Female,XL,1,1,330.25,1,36,"Debit Card"
54,2021-11-26,Zacatecas,Accessories,Wallet,Male,S,0,1,330.25,2,26,"Credit Card"
55,2022-06-17,"Baja California",Tops,"Tank Top",Female,S,0,1,89.25,5,40,"Debit Card"
56,2023-09-05,Coahuila,Outerwear,Coat,Female,M,0,1,650.00,5,56,"Debit Card"
57,2024-06-25,Tamaulipas,Bottoms,Jeans,Male,XL,0,1,299.99,5,35,"Credit Card"
58,2024-02-16,"Estado de México",Shoes,Loafers,Female,M,1,1,480.40,2,39,"Debit Card"
59,2023-07-01,Hidalgo,Accessories,Scarf,Male,XL,0,1,140.80,1,35,"Debit Card"
60,2022-06-04,Coahuila,Tops,T-Shirt,Female,M,0,1,99.99,4,52,"Debit Card"
61,2024-09-15,"San Luis Potosí",Tops,T-Shirt,Female,XL,0,1,99.99,5,22,"Debit Card"
62,2024-09-18,"Ciudad de México",Accessories,Scarf,Male,M,1,1,140.80,5,29,"Credit Card"
63,2022-07-23,Campeche,Swimwear,"Swim Shorts",Male,XL,0,1,150.55,5,23,"Credit Card"
64,2023-04-07,Campeche,Tops,"Polo Shirt",Male,L,0,1,135.50,5,26,PayPal
65,2024-07-21,Yucatán,Accessories,Backpack,Male,L,0,1,540.90,1,26,PayPal
66,2023-01-04,"Ciudad de México",Tops,"Tank Top",Non-specified,M,0,1,89.25,3,35,"Credit Card"
67,2023-12-25,"Nuevo León",Tops,"Tank Top",Male,XL,0,1,89.25,5,20,"Debit Card"
68,2024-07-30,Chihuahua,Shoes,Boots,Male,L,1,1,890.99,4,23,"Credit Card"
69,2024-12-18,"Estado de México",Swimwear,"Swim Shorts",Female,XL,0,1,150.55,4,46,"Debit Card"
70,2023-05-22,Puebla,Tops,"Tank Top",Male,M,1,1,89.25,3,37,"Debit Card"
71,2024-07-11,Sinaloa,"One-Piece Outfits",Tunic,Male,XL,0,1,340.20,3,39,"Debit Card"
72,2023-12-06,"Baja California",Outerwear,Jacket,Male,M,1,10,4809.00,1,25,"Debit Card"
73,2021-05-18,Tabasco,Tops,T-Shirt,Male,XL,0,1,99.99,4,45,"Credit Card"
74,2022-02-14,Zacatecas,Outerwear,Coat,Female,M,0,1,650.00,5,31,"Debit Card"
75,2021-02-08,Durango,Outerwear,Jacket,Female,L,0,1,480.90,5,29,"Debit Card"
76,2024-10-03,Querétaro,"One-Piece Outfits",Tunic,Male,L,0,1,340.20,4,34,"Debit Card"
77,2023-04-09,Nayarit,Outerwear,Blazer,Female,S,0,1,520.30,5,45,PayPal
78,2022-03-28,Sinaloa,Shoes,Boots,Female,M,1,1,890.99,5,53,"Debit Card"
79,2022-09-03,"Estado de México",Tops,"Tank Top",Male,M,0,1,89.25,5,24,"Credit Card"
80,2022-07-10,Querétaro,"One-Piece Outfits",Kaftan,Female,M,1,1,415.35,3,30,"Debit Card"
81,2021-06-19,"Ciudad de México",Tops,"Tank Top",Female,XL,0,1,89.25,5,33,"Debit Card"
82,2022-02-27,"Nuevo León",Tops,T-Shirt,Female,M,0,1,99.99,5,45,"Credit Card"
83,2023-08-13,Guanajuato,Shoes,Slip-Ons,Female,S,0,1,750.00,5,20,"Credit Card"
84,2022-01-02,Tlaxcala,Accessories,Scarf,Male,S,0,1,140.80,1,23,"Debit Card"
85,2022-09-27,"Ciudad de México",Activewear,Joggers,Female,M,0,1,345.10,5,42,"Credit Card"
86,2023-11-02,Aguascalientes,Tops,"Tank Top",Male,L,1,1,89.25,5,40,"Debit Card"
87,2024-05-03,Durango,Accessories,Backpack,Male,XL,0,1,540.90,1,48,PayPal
88,2022-06-03,"Ciudad de México",Outerwear,Jacket,Male,S,0,14,6732.60,5,41,PayPal
89,2024-06-24,"San Luis Potosí",Shoes,Sandals,Male,S,0,1,210.25,5,22,"Debit Card"
90,2024-05-18,Puebla,Bottoms,"Cargo Pants",Female,L,0,1,250.75,3,34,PayPal
91,2023-01-07,Campeche,Activewear,"Training Pants",Female,M,0,1,310.70,5,23,Cash
92,2024-07-08,"Baja California Sur",Swimwear,"Swim Shorts",Male,M,0,1,150.55,5,30,"Debit Card"
93,2023-10-26,Chiapas,Accessories,Scarf,Female,XL,0,1,140.80,1,50,"Credit Card"
94,2024-06-22,"Quintana Roo",Outerwear,Jacket,Non-specified,S,0,1,480.90,5,36,PayPal
95,2022-11-06,Tamaulipas,"One-Piece Outfits",Tunic,Female,XL,0,1,340.20,3,32,"Debit Card"
96,2022-10-19,Guanajuato,Bottoms,Shorts,Male,XL,0,1,145.60,3,34,"Debit Card"
97,2022-06-16,Tabasco,"One-Piece Outfits",Jumpsuit,Male,S,0,1,899.99,3,21,"Credit Card"
98,2023-09-20,Chiapas,Shoes,Slip-Ons,Female,XL,0,1,750.00,4,44,"Credit Card"
99,2023-07-17,Querétaro,Bottoms,Jeans,Male,M,0,1,299.99,3,33,"Credit Card"
100,2024-04-26,Campeche,Shoes,Boots,Male,M,0,1,890.99,4,45,"Credit Card"
101,2023-03-25,"San Luis Potosí",Tops,"Button-Up Shirt",Female,L,0,1,220.40,2,56,"Credit Card"
102,2022-12-25,Guerrero,Activewear,"Running Shorts",Non-specified,XL,0,1,180.30,4,32,"Credit Card"
103,2024-01-08,Puebla,Activewear,"Running Shorts",Male,XL,1,1,180.30,3,40,"Credit Card"
104,2022-12-28,Oaxaca,Tops,"Tank Top",Male,XL,0,1,89.25,1,29,"Credit Card"
105,2024-01-17,"San Luis Potosí",Activewear,"Running Shorts",Male,M,0,2,360.60,5,31,"Credit Card"
106,2024-05-27,Sonora,Bottoms,Shorts,Female,M,0,1,145.60,4,53,Cash
107,2022-01-20,"Nuevo León",Bottoms,Jeans,Non-specified,L,1,1,299.99,3,49,"Debit Card"
108,2024-01-16,Tamaulipas,Outerwear,Blazer,Male,S,0,1,520.30,5,23,"Bank Transfer"
109,2021-03-12,Guanajuato,Bottoms,Shorts,Female,S,0,1,145.60,3,25,PayPal
110,2023-03-18,"Nuevo León","One-Piece Outfits",Rompers,Female,M,0,1,720.10,3,35,"Debit Card"
111,2021-11-18,Durango,Tops,T-Shirt,Male,M,1,1,99.99,5,45,PayPal
112,2024-08-24,"Ciudad de México",Bottoms,Jeans,Female,M,0,1,299.99,3,31,"Debit Card"
113,2024-12-29,Morelos,Bottoms,"Cargo Pants",Male,S,1,1,250.75,2,55,"Credit Card"
114,2023-05-19,"Baja California",Activewear,"Training Pants",Female,L,0,1,310.70,5,19,"Bank Transfer"
115,2023-08-02,"San Luis Potosí",Accessories,Wallet,Male,S,1,1,330.25,1,31,"Debit Card"
116,2022-03-01,Nayarit,Shoes,Loafers,Female,S,1,1,480.40,4,19,Cash
117,2022-07-26,"Ciudad de México",Outerwear,Jacket,Female,S,0,1,480.90,2,27,PayPal
118,2022-04-26,Puebla,Shoes,Sneakers,Male,M,0,1,599.50,4,27,"Debit Card"
119,2024-07-24,Zacatecas,Tops,"Polo Shirt",Male,L,0,1,135.50,5,31,Cash
120,2023-03-25,"Ciudad de México",Tops,"Tank Top",Female,L,0,1,89.25,5,20,"Credit Card"
121,2022-09-25,Hidalgo,Activewear,"Running Shorts",Non-specified,XL,0,1,180.30,5,23,"Credit Card"
122,2021-06-12,"Quintana Roo","One-Piece Outfits",Tunic,Female,S,0,1,340.20,5,36,"Debit Card"
123,2024-08-25,Chihuahua,Shoes,Sneakers,Male,M,1,1,599.50,4,22,"Credit Card"
124,2024-08-04,Nayarit,Bottoms,Jeans,Female,M,0,1,299.99,4,23,"Credit Card"
125,2022-04-24,Veracruz,Tops,"Tank Top",Female,XL,1,1,89.25,5,29,"Credit Card"
126,2024-05-06,Puebla,Accessories,Backpack,Non-specified,M,0,1,540.90,1,23,"Debit Card"
127,2024-12-28,Guanajuato,Activewear,"Training Pants",Female,XL,0,1,310.70,5,32,"Credit Card"
128,2022-02-20,"Ciudad de México",Tops,"Tank Top",Male,L,1,1,89.25,5,40,"Credit Card"
129,2021-07-24,Morelos,"One-Piece Outfits",Kaftan,Female,M,0,1,415.35,5,31,"Debit Card"
130,2024-03-05,Durango,Bottoms,Jeans,Male,M,0,1,299.99,4,31,"Credit Card"
131,2023-01-23,Puebla,"One-Piece Outfits",Jumpsuit,Male,S,0,1,899.99,3,31,PayPal
132,2024-08-01,"Baja California",Shoes,Sandals,Male,L,0,1,210.25,4,48,"Debit Card"
133,2021-01-09,Chihuahua,Bottoms,Shorts,Female,XL,0,1,145.60,3,23,"Credit Card"
134,2021-02-06,Durango,Shoes,Boots,Female,XL,0,1,890.99,3,25,"Debit Card"
135,2022-03-03,Morelos,Outerwear,Jacket,Female,M,0,1,480.90,5,23,"Credit Card"
136,2021-04-28,Nayarit,Outerwear,Jacket,Male,XL,0,1,480.90,1,41,"Credit Card"
137,2021-05-19,Nayarit,Tops,"Button-Up Shirt",Male,XL,1,1,220.40,5,28,"Debit Card"
138,2021-05-05,Tamaulipas,Shoes,Boots,Female,S,0,1,890.99,4,49,"Credit Card"
139,2024-01-02,Guanajuato,"One-Piece Outfits",Jumpsuit,Male,M,0,1,899.99,3,24,"Debit Card"
140,2022-04-25,Campeche,Tops,T-Shirt,Male,L,0,1,99.99,2,18,"Debit Card"
141,2024-01-24,Tabasco,Shoes,Sandals,Male,XL,0,1,210.25,4,39,"Credit Card"
142,2024-09-11,"Baja California",Shoes,Sneakers,Female,S,0,1,599.50,4,18,Cash
143,2023-02-18,"Nuevo León",Outerwear,Hoodie,Female,L,0,1,275.45,5,43,PayPal
144,2024-01-23,Tabasco,Activewear,"Compression Top",Male,L,1,1,250.55,4,26,"Credit Card"
145,2023-07-08,Zacatecas,Bottoms,Jeans,Male,S,0,1,299.99,3,20,"Debit Card"
146,2024-08-25,"San Luis Potosí",Tops,"Tank Top",Female,M,0,1,89.25,3,27,"Debit Card"
147,2022-03-21,"Nuevo León",Bottoms,"Utility Pants",Male,M,0,1,160.00,3,37,"Debit Card"
148,2022-12-06,"Estado de México",Shoes,Sneakers,Male,XL,0,1,599.50,5,51,"Debit Card"
149,2023-07-25,Yucatán,Accessories,Cap,Male,S,0,8,795.20,1,37,Cash
150,2021-08-03,Chiapas,Tops,"Tank Top",Male,L,0,1,89.25,5,23,PayPal
151,2021-02-13,Jalisco,Tops,T-Shirt,Female,L,0,1,99.99,5,22,"Debit Card"
152,2021-01-01,Guanajuato,Outerwear,Hoodie,Non-specified,L,1,1,275.45,1,23,"Credit Card"
153,2024-04-16,Veracruz,Activewear,"Compression Top",Non-specified,M,0,1,250.55,2,27,"Credit Card"
154,2024-10-22,"Nuevo León","One-Piece Outfits",Tunic,Female,M,1,1,340.20,3,19,PayPal
155,2021-05-19,Aguascalientes,Outerwear,Jacket,Male,XL,0,1,480.90,5,51,"Bank Transfer"
156,2021-10-26,Hidalgo,Accessories,Wallet,Male,M,0,1,330.25,3,23,"Debit Card"
157,2023-01-19,"Baja California",Activewear,Joggers,Female,M,0,1,345.10,4,21,"Credit Card"
158,2023-09-23,Jalisco,"One-Piece Outfits",Jumpsuit,Male,M,0,1,899.99,4,23,PayPal
159,2024-12-02,Guanajuato,Accessories,Cap,Female,XL,1,1,99.40,5,33,"Credit Card"
160,2023-02-24,Sinaloa,Accessories,Wallet,Female,M,0,1,330.25,1,37,"Credit Card"
161,2024-04-29,"Nuevo León",Swimwear,"Rash Guard",Female,M,0,1,180.90,4,60,PayPal
162,2022-09-11,Jalisco,Accessories,Scarf,Female,S,0,1,140.80,1,25,"Credit Card"
163,2023-03-10,Oaxaca,Tops,"Tank Top",Male,XL,0,1,89.25,5,33,PayPal
